Tenor,Yield
0.019230769231,0.03987
0.038461538462,0.03996
0.057692307692,0.03986
0.083333333333,0.03993
0.166666666667,0.03933
0.250000000000,0.03888
0.333333333333,0.03848
0.416666666667,0.03813
0.500000000000,0.03785
0.583333333333,0.03756
0.666666666667,0.03724
0.750000000000,0.03693
0.833333333333,0.03659
0.916666666667,0.03628
1.000000000000,0.03600
1.500000000000,0.03436
2.000000000000,0.03368
3.000000000000,0.03327
4.000000000000,0.03342
5.000000000000,0.03378
6.000000000000,0.03431
7.000000000000,0.03488
8.000000000000,0.03545
9.000000000000,0.03601
10.000000000000,0.03655
12.000000000000,0.03755
15.000000000000,0.03872
20.000000000000,0.03966
25.000000000000,0.03971
30.000000000000,0.03936
40.000000000000,0.03826
50.000000000000,0.03709
