Strike,Bid,Ask,Last,Volm
6400,0,0,71,0
6600,115,142,92,0
6800,0,0,117,0
7000,169,200,147,0
7200,198,231,182,0
7400,232,266,223,0
7600,271,307,269,0
7800,315,354,322,0
8000,366,408,381,0
8200,444,465,455,0
8400,512,534,523,0
8600,589,612,601,0
8800,674,702,688,0
9000,768,792,780,0
9200,863,895,879,0
9400,981,1005,993,0
9600,1095,1124,1110,0
9800,1225,1250,1238,0
10000,1357,1383,1370,0
10200,1496,1522,1509,0
10400,1605,1661,1649,0
10600,1754,1810,1797,0
10800,1909,1964,1949,0
11000,2068,2123,2106,0
11200,2230,2286,2267,0
11400,2396,2452,2431,0
11600,2566,2621,2599,0
11800,0,0,2770,0
12000,0,0,2944,0
