Strike,Bid,Ask,Last,Volm
4800,42.40000153,43.09999847,42.40000153,0
4825,43.29999924,44.09999847,43.90000153,7
4850,44.29999924,45.09999847,44.34000015,9
4875,45.29999924,46.09999847,43.66999817,2
4900,46.29999924,47.09999847,46.90000153,1
4925,47.40000153,48.20000076,48.13000107,4
4950,48.5,49.29999924,45.84999847,0
4975,49.59999847,50.40000153,49.15999985,0
5000,50.79999924,51.59999847,51.24000168,9
5025,52,52.79999924,49.97999954,2
5050,53.20000076,54,53.45000076,5
5075,54.40000153,55.29999924,52.18999863,2
5100,55.70000076,56.59999847,56.29999924,0
5125,57.09999847,57.90000153,57.70000076,3
5150,58.40000153,59.29999924,59.09999847,1
5175,59.79999924,60.70000076,60.59999847,1
5200,61.29999924,62.20000076,61.90000153,1456
5225,62.79999924,63.70000076,63.5,3
5250,64.30000305,65.19999695,65,1
5275,65.90000153,66.80000305,66.59999847,2
5300,67.5,68.40000153,68.30000305,180
5325,69.09999847,70.09999847,69.59999847,2
5350,70.80000305,71.80000305,71.30000305,2
5375,72.59999847,73.59999847,73.5,0
5400,74.40000153,75.40000153,67.81999969,0
5425,76.19999695,77.19999695,80.91999817,53
5450,78.09999847,79.09999847,78.19999695,84
5475,80.09999847,81.09999847,84.05000305,1
5500,82.09999847,83.09999847,83.09999847,383
5525,84.09999847,85.19999695,78.69999695,0
5550,86.19999695,87.30000305,86.37999725,8
5575,88.40000153,89.40000153,89.09999847,6
5600,90.59999847,91.69999695,91.58000183,976
5625,92.80000305,93.90000153,93.69999695,1
5650,95.19999695,96.30000305,95.75,4
5675,97.59999847,98.69999695,94.09999847,4
5700,100,101.1999969,100.9000015,4
5725,102.5,103.6999969,103.4000015,1
5750,105.0999985,106.3000031,106,3
5775,107.6999969,108.9000015,107.1500015,11
5800,110.4000015,111.5999985,109.7300034,11
5825,113.1999969,114.4000015,113.5999985,2
5850,116,117.3000031,115.4499969,3
5875,118.9000015,120.1999969,119.6999969,2
5900,121.9000015,123.1999969,121.1800003,53
5925,125,126.3000031,126,1
5950,128.1000061,129.3999939,128.8000031,99
5975,131.3000031,132.6000061,127.0299988,0
6000,134.6000061,135.8999939,136.2599945,1943
6025,137.8999939,139.3000031,139.1000061,1
6050,141.3999939,142.6999969,144.5299988,2
6075,144.8999939,146.3000031,142.8999939,1
6100,148.5,149.8999939,149.6999969,132
6125,152.1999969,153.6000061,144.1000061,0
6150,155.8999939,157.3999939,157.1000061,0
6175,159.8000031,161.1999969,145.5,0
6200,163.8000031,165.1999969,161.1399994,234
6225,167.8000031,169.3000031,162.3999939,1
6250,172,173.3999939,169.1300049,80
6275,176.1999969,177.6999969,167.3000031,0
6300,180.6000061,182.1000061,177.6699982,211
6325,185,186.6000061,176.3000031,0
6350,189.6000061,191.1000061,190.1999969,41
6375,194.3000031,195.8000031,178.6999969,0
6400,199.1000061,200.6000061,192.9499969,0
6425,204,205.6000061,184.4600067,0
6450,209,210.6000061,210.7299957,8
6475,214.1999969,215.8000031,197.3500061,0
6500,219.5,221.1999969,220.3999939,260
6525,225,226.6000061,230.7299957,10
6550,230.6000061,232.1999969,235.6100006,4
6575,236.3000031,238,229.4799957,16
6600,242.1999969,243.8999939,252.3899994,6
6625,248.3000031,250,250.6100006,3
6650,254.6000061,256.2999878,243.3000031,0
6675,261,262.7999878,245.2200012,0
6700,267.6000061,269.3999939,268.2200012,10
6725,274.3999939,276.2000122,278.2000122,0
6750,281.5,283.2999878,283.5599976,4
6775,288.7000122,290.5,290.6000061,1
6800,296.2000122,298,297.5400085,186
6825,303.8999939,305.7999878,304.2000122,30
6850,311.7999878,313.7000122,311.0799866,575
6875,320,322,313,48
6900,328.5,330.5,336.1900024,7
6925,337.2000122,339.2000122,339.2999878,0
6950,346.2999878,348.2999878,348.8999939,0
6975,355.6000061,357.6000061,348.8200073,185
7000,365.2000122,367.2999878,361.3999939,231
7025,375.2000122,377.2000122,345.6600037,0
7050,385.3999939,387.5,388.6000061,14
7075,396,398.1000061,373.2999878,0
7100,406.8999939,409.1000061,383.7000122,0
7125,418.2000122,420.3999939,395.1499939,0
7150,429.8999939,432,396.3399963,0
7175,441.7999878,444,408.6499939,0
7200,454.2000122,456.3999939,437.7999878,0
7225,466.8999939,469.2000122,425.7200012,0
7250,480,482.2999878,479.4599915,1
7275,493.5,495.7999878,499,0
7300,507.2999878,509.5,473.1400146,0
7325,520.2000122,523.7999878,568.2600098,0
7350,534.7999878,538.4000244,540.7199707,0
7375,549.7000122,553.2999878,512.3300171,0
7400,565,568.7000122,519.5800171,0
7425,580.7000122,584.2999878,553.5,0
7450,596.7000122,600.4000244,568.9799805,0
7475,613,616.7999878,0,0
7500,629.7999878,633.5,585.7000122,0
7525,646.7999878,650.5999756,0,0
7550,664.2000122,668,0,0
7575,681.9000244,685.7000122,0,0
7600,699.9000244,703.7999878,658.0499878,0
7625,718.2000122,722.0999756,0,0
7650,736.7999878,740.7999878,703.5999756,0
7675,755.7000122,759.7000122,0,0
7700,774.9000244,778.9000244,1354.650024,0
7725,794.4000244,798.4000244,0,0
7750,814.0999756,818.2000122,0,0
7800,854.2000122,858.4000244,841.289978,0
7900,937.0999756,941.4000244,0,0
8000,1023,1027.5,998.1300049,0
8100,1111.300049,1116,0,0
8200,1192.300049,1216.300049,1563.219971,0
8300,1284.300049,1308.300049,0,0
8400,1377.400024,1401.400024,1753.23999,0
8500,1471.599976,1495.599976,0,0
8600,1566.400024,1590.400024,0,0
8800,1757.900024,1781.900024,2307.73999,0
