Tenor,Yield
0.25,0.03549
0.5,0.03199
0.75,0.03103
1,0.03200
1.5,0.03050
2,0.02980
3,0.02930
4,0.02920
5,0.02940
7,0.03030
10,0.03180
12,0.03261
15,0.03355
